漢字,羅馬字
水疱,chúi-phā
天狗熱,thian-káu-jia̍t/thian-káu-lia̍t
友的,iú--ê
太空,thài-khong
歹空,pháiⁿ-khang
毋知,m̄ chai
毋知人,m̄-chai-lâng
毋知死,m̄-chai-sí
毋知影,m̄ chai-iáⁿ
手股,chhiú-kó͘
木蝨,ba̍k-sat
水門,chúi-mn̂g
方便,hong-piān
太保,thài-pó
歹剃頭,pháiⁿ-thì-thâu
日後,ji̍t-āu/li̍t-āu
手指,chhiú-chí
支持,chi-chhî
毋挃,m̄-ti̍h
毋是,m̄ sī
水拹仔,chúi-hia̍p-á
毋是勢,m̄-sī-sè
手指頭仔,chhiú-chéng-thâu-á
止枵,chí-iau
手段,chhiú-tōaⁿ
水泉,chúi-chôaⁿ
反省,hoán-séng
月眉,goe̍h-bâi/ge̍h-bâi
歹看,pháiⁿ-khòaⁿ
歹看相,pháiⁿ-khòaⁿ-siùⁿ
反背,hoán-pōe
水紅仔色,chúi-âng-á-sek
巴郎,pa-lang
手面,chhiú-bīn
方面,hong-bīn
歹食,pháiⁿ-chia̍h
手風琴,chhiú-hong-khîm
月俸,goe̍h-hōng/ge̍h-hōng
毋值,m̄-ta̍t
毋准,m̄-chún
反倒轉,hoán-tò-tńg
月娘,goe̍h-niû/ge̍h-niû
木屐,ba̍k-kia̍h
水庫,chúi-khò͘
反悔,hoán-hóe
天庭,thian-têng
午時,gō͘-sî
及時,ki̍p-sî
天時,thian-sî
日時,ji̍t--sî/li̍t--sî
毋捌,m̄ bat
午時水,gō͘-sî-chúi
日時仔,ji̍t--sî-á/li̍t--sî-á
及格,ki̍p-keh
反桌,péng-toh
文書,bûn-su
月桃,ge̍h-thô
天氣,thiⁿ-khì
水氣,chúi-khì
反症,hoán-chèng
止疼,chí-thiàⁿ
毛病,mô͘-pēⁿ/mô͘-pīⁿ
水珠,chúi-chu
歹症頭,pháiⁿ-chèng-thâu
天秤,thian-pêng
心神,sim-sîn
少缺,chió-khoeh/chió-kheh
手耙,chhiú-pē
欠缺,khiàm-khoeh/khiàm-kheh
引起,ín-khí
記持,kì-tî
手骨,chhiú-kut
天堂,thian-tông
夫婦,hu-hū
反常,hoán-siông
日常,ji̍t-siông/li̍t-siông
心情,sim-chêng
毋情願,m̄-chêng-goān
手液,chhiú-sio̍h
水梨仔,chúi-lâi-á
心爽,sim-sóng
天理,thian-lí
心理,sim-lí
手痕,chhiú-hûn
水產,chúi-sán
支票,chi-phiò
文章,bûn-chiong
反船,péng-chûn
手術,chhiú-su̍t
毋通,m̄-thang
水貨,chúi-hòe/chúi-hè
天頂,thiⁿ-téng
孔雀,khóng-chhiok
木魚,bo̍k-hî/bo̍k-hû
木麻黃,bo̍k-môa-hông
歹喙,pháiⁿ-chhùi
歹喙斗,pháiⁿ-chhùi-táu
止喙焦,chí chhùi-ta
比喻,pí-jū/pí-lū
心悶,sim-būn
支援,chi-oān
毋敢,m̄ káⁿ
水晶,chúi-chiⁿ
日期,ji̍t-kî/li̍t-kî
木棉,bo̍k-mî
引渡,ín-tō͘
歹款,pháiⁿ-khoán
毛毯,mô͘-thán
天然,thian-jiân/thian-liân
月琴,goe̍h-khîm/ge̍h-khîm
天窗,thiⁿ-thang
歹睏,pháiⁿ-khùn
巴結,pa-kiat
手筆,chhiú-pit
月給,goe̍h-kip/ge̍h-kip
水筆仔,chúi-pit-á
手碗,chhiú-óaⁿ
手碗骨,chhiú-óaⁿ-kut
毋著,m̄-tio̍h
文雅,bûn-ngá
手勢,chhiú-sè
欠債,khiàm-chè
歹勢,pháiⁿ-sè
天意,thiⁿ-ì
心意,sim-ì
歹意,pháiⁿ-ì
月暗暝,goe̍h-àm-mê/ge̍h-àm-mî
斗概,táu-kài
水準,chúi-chún
水溝,chúi-kau
太極拳,thài-ke̍k-kûn
水源頭,chúi-goân-thâu
少爺,siàu-iâ
月經,goe̍h-keng/ge̍h-keng
反腹,péng-pak
心腸,sim-tn̂g
心腹,sim-pak
歹腹肚,pháiⁿ-pak-tó͘
歹話,pháiⁿ-ōe
毛跤,mn̂g-kha
手路,chhiú-lō͘
歹路,pháiⁿ-lō͘
歹運,pháiⁿ-ūn
毋過,m̄-koh
比較,pí-kàu
水道,chúi-tō
水道水,chúi-tō-chúi
手路菜,chhiú-lō͘-chhài
水道頭,chúi-tō-thâu
手銃,chhiú-chhèng
水閘,chúi-cha̍h
水電,chúi-tiān
手電仔,chhiú-tiān-á
反僥,hoán-hiau
止嗽,chí-sàu
夭壽,iáu-siū
夭壽仔,iáu-siū-á
夭壽短命,iáu-siū-té-miā
反對,hoán-tùi
手摺簿仔,chhiú-chih-phō͘-á
太監,thài-kàm
毋管,m̄-koán
毛管,mn̂g-kńg/mô͘-kńg
水管,chúi-kóng
水蜜桃,chúi-bi̍t-thô
引誘,ín-iú
日誌,ji̍t-chì/li̍t-chì
心酸,sim-sng
水銀,chúi-gîn/chúi-gûn
歹銅舊錫,pháiⁿ-tâng-kū-siah
引魂,ín-hûn
月餅,goe̍h-piáⁿ/ge̍h-piáⁿ
水餃,chúi-kiáu
少數,chió-sò͘
欠數,khiàm-siàu
水槽,chúi-chô
手數料,chhiú-sò͘-liāu
手模,chhiú-bô͘
手盤,chhiú-pôaⁿ
化緣,hòa-iân
比論,pí-lūn
心適,sim-sek
化學,hòa-ha̍k
文學,bûn-ha̍k
手擋,chhiú-tòng
文憑,bûn-pêng
天橋,thian-kiô
心機,sim-ki
戶橂,hō͘-tēng
手橐仔,chhiú-lok-á
手機仔,chhiú-ki-á
水燈,chúi-teng
歹積德,pháiⁿ-chek-tek
手錶仔,chhiú-pió-á
心頭,sim-thâu
戶頭,hō͘-thâu
手頭,chhiú-thâu
日頭,ji̍t-thâu/li̍t-thâu
月頭,goe̍h-thâu/ge̍h-thâu
水頭,chúi-thâu
日頭花,ji̍t-thâu-hoe/li̍t-thâu-hoe
允頭路,ín-thâu-lō͘/ún-thâu-lō͘
水鴨,chúi-ah
水龍,chúi-lêng
水龜,chúi-ku
水龍車,chúi-lêng-chhia
水鴛鴦,chúi-oan-iuⁿ
反應,hoán-èng
手環,chhiú-khoân
天篷,thian-pông
水蕹菜,chúi-èng-chhài
歹聲嗽,pháiⁿ-siaⁿ-sàu
水螺,chúi-lê
歹講,pháiⁿ-kóng
比賽,pí-sài
水觳仔,chúi-khok-á
反輾轉,péng-liàn-tńg
水櫃,chúi-kūi
歹癖,pháiⁿ-phiah
水薸,chúi-phiô
水薰吹,chúi-hun-chhoe/chúi-hun-chhe
水雞,chúi-ke/chúi-koe
水雞泅,chúi-ke-siû/chúi-koe-siû
水獺,chúi-thoah
手藝,chhiú-gē
文藝,bûn-gē
毛蟹,mô͘-hē
心願,sim-goān
毋願,m̄-goān
文獻,bûn-hiàn
戶籍,hō͘-che̍k
手續,chhiú-sio̍k
手囊,chhiú-lông
心臟,sim-chōng
斗籠,táu-láng
歹聽,pháiⁿ-thiaⁿ
心臟病,sim-chōng-pēⁿ/sim-chōng-pīⁿ
化驗,hòa-giām
毋驚,m̄ kiaⁿ
心驚膽嚇,sim-kiaⁿ-táⁿ-hiahⁿ
火,hóe/hé
爪,jiáu/niáu
父,hū
爿,pêng
片,phìⁿ
牙,gâ
牙,gê
牛,gû
王,ông
牛𡳞脬檨,gû-lān-pha-soāiⁿ
火大,hóe-tōa/hé-tōa
火山,hóe-soaⁿ/hé-soaⁿ
爪仔,jiáu-á/niáu-á
父兄,hū-heng
牛仔囝,gû-á-kiáⁿ
牛仔褲,gû-á-khò͘
父母,hū-bió
牛奶,gû-leng/gû-ni
牛母,gû-bó
牛奶色,gû-leng-sek/gû-ni-sek
牛奶喙仔,gû-leng-chhùi-á/gû-ni-chhùi-á
牛奶糖,gû-leng-thn̂g/gû-ni-thn̂g
火石仔,hóe-chio̍h-á/hé-chio̍h-á
王后,ông-hiō
火舌,hóe-chi̍h/hé-chi̍h
父老,hū-ló
火夾,hóe-ngeh/hé-ngeh
牛杙仔,gû-khi̍t-á
火災,hóe-chai/hé-chai
牛牢,gû-tiâu
牛肚,gû-tō͘
火車,hóe-chhia/hé-chhia
牛角,gû-kak
牛角花,gû-kak-hoe
火車站,hóe-chhia-chām/hé-chhia-chām
火車路,hóe-chhia-lō͘/hé-chhia-lō͘
火金蛄,hóe-kim-ko͘/hé-kim-ko͘
火屎,hóe-sái/hé-sái
牛屎色,gû-sái-sek
牛屎鳥仔,gû-sái-chiáu-á
牛屎龜,gû-sái-ku
火星,hóe-chheⁿ/hé-chhiⁿ
火炭,hóe-thòaⁿ/hé-thòaⁿ
牛郎,Gû-nn̂g
王哥柳哥,Ông--ko-Liú--ko
火氣,hóe-khì/hé-khì
火烌,hóe-hu/hé-hu
牛索,gû-soh
牛捽仔,gû-sut-á
王梨,ông-lâi
牛陵,gû-niā
牛喙罨,gû-chhùi-am
牛犅,gû-káng
王爺,ông-iâ
王爺債,ông-iâ-chè
王祿仔,ông-lo̍k-á
牛腩,gû-lám
火鉗,hóe-khîⁿ/hé-khîⁿ
牛頓草,gû-tùn-chháu
火鼠,hóe-chhí/hóe-chhú
火種,hóe-chéng/hé-chéng
火管,hóe-kńg/hé-kńg
火箸,hóe-tī/hé-tū
牛種仔,gû-chéng-á
火腿,hóe-thúi/hé-thúi
牛鼻圈,gû-phīⁿ-khian
牙槽,gê-chô
牙槽骨,gê-chô-kut
火熥,hóe-thang/hé-thang
火箭,hóe-chìⁿ/hé-chìⁿ
牛擔,gû-taⁿ
火燒,hóe-sio/hé-sio
火燒山,hóe-sio-soaⁿ/hé-sio-soaⁿ
火燒厝,hóe-sio-chhù/hé-sio-chhù
火燒埔,hóe-sio-po͘/hé-sio-po͘
牛螕,gû-pi
牛頭,gû-thâu
火鍋,hóe-ko/hé-ko
火薰,hóe-hun/hé-hun
火雞,hóe-ke/hé-koe
火雞母,hóe-ke-bó/hé-koe-bó
世,sè
世,sì
丙,piáⁿ
主,chú
丼,tôm
乍,chàⁿ
乎,--ho͘hⁿ
乏,ha̍t
仔,á
仕,sū
付,hù
仙,sian
仙,sián
仝,kāng
代,tāi
代,tē
代,tāi
令,lēng
以,í
兄,hiaⁿ
冊,chheh
主人,chú-lâng
仙人,sian-jîn/sian-lîn
仙女,sian-lí/sian-lú
仙丹,sian-tan
充公,chhiong-kong
充分,chhiong-hun
以及,í-ki̍p
世代,sè-tāi
冊包,chheh-pau
主任,chú-jīm/chú-līm
代先,tāi-seng
充血,chhiong-hiat
兄弟,hiaⁿ-tī
兄弟姊妹,hiaⁿ-tī-chí-mōe/hiaⁿ-tī-chí-bē
主見,chú-kiàn
主角,chú-kak
充足,chhiong-chiok
世事,sè-sū
仙姑,sian-ko͘
冊店,chheh-tiàm
冊房,chheh-pâng
仙拚仙,sian-piàⁿ-sian
仝爸各母,kāng-pē-koh-bú
代表,tāi-piáu
兄長,heng-tióng
世俗,sè-sio̍k
以前,í-chêng
世俗人,sè-sio̍k-lâng
以後,í-āu
主持,chú-chhî
冊架仔,chheh-kè-á
仙洞,sian-tōng
世界,sè-kài
世紀,sè-kí
主要,chú-iàu
兄哥,hiaⁿ-ko
主席,chú-se̍k
仙桃,sian-thô
代書,tāi-su
仙草,sian-chháu
主動,chú-tōng
主婚,chú-hun
主婦,chú-hū
主張,chú-tiuⁿ
世情,sè-chêng
代理,tāi-lí
代替,tāi-thè/tāi-thòe
仝款,kāng-khoán
代筆,tāi-pit
世間,sè-kan
世間人,sè-kan-lâng
兄嫂,hiaⁿ-só
主意,chú-ì
主義,chú-gī
且慢,chhiáⁿ-bān
充滿,chhiong-boán
主管,chú-koán
代誌,tāi-chì
主辦,chú-pān
代辦,tāi-pān
冊櫥,chheh-tû
主顧,chú-kò͘
主權,chú-khoân
冬,tang
凹,nah
出,chhut
刊,khan
功,kong
加,ka
加,ka
加,ke
包,pau
北,pak
半,poàn
半,pòaⁿ
卌,siap
占,chiàm
卡,khah
卡,kha̍h
卯,báu
卯,báu
卯,mauh
去,khì
古,kó͘
句,kù
叨,lo
叩,khàu
只,chí
只,chí
叫,kiò
叮,teng
叮,tèng
可,khó
台,tâi
囚,siû
四,sì
四,sù
外,gōa
央,iang
半䖙倒,pòaⁿ-the-tó
出丁,chhut-teng
出入,chhut-ji̍p/chhut-li̍p
出力,chhut-la̍t
外人,gōa-lâng
去了了,khì-liáu-liáu
出口,chhut-kháu
出土,chhut-thó͘
出山,chhut-soaⁿ
加工,ke-kang
半子,poàn-chú
半工,pòaⁿ-kang
外口,gōa-kháu
半小死,pòaⁿ-sió-sí
央三託四,iang-saⁿ-thok-sì
司公,sai-kong
外公,gōa-kong
半中站,pòaⁿ-tiong-chām
司公鈃,sai-kong-giang
司公壇,sai-kong-tôaⁿ
冬天,tang-thiⁿ
出手,chhut-chhiú
出水,chhut-chúi
半日,pòaⁿ-ji̍t/pòaⁿ-li̍t
另日,lēng-ji̍t/lēng-li̍t
可比,khó-pí
四方,sì-hng
半月日,pòaⁿ goe̍h-ji̍t/pòaⁿ ge̍h-li̍t
叫毋敢,kiò-m̄-káⁿ
半天筍,poàn-thian-sún
北爿,pak-pêng
卡片,khah-phìⁿ
四爿,sì-pêng
四片仔,sì-phìⁿ-á
出世,chhut-sì
包仔,pau-á
半仙,poàn-sian
古冊,kó͘-chheh
半世人,pòaⁿ-sì-lâng
出外,chhut-gōa
另外,lēng-gōa
外外,gōa-gōa
可可仔,kho͘-khó͘-ah
四句聯,sì-kù-liân
司奶,sai-nai
四正,sì-chiàⁿ
冬瓜,tang-koe
冬瓜茶,tang-koe-tê
半生熟,pòaⁿ-chheⁿ-se̍k/pòaⁿ-chhiⁿ-se̍k
外交,gōa-kau
出名,chhut-miâ
出帆,chhut-phâng
只好,chí-hó
古早,kó͘-chá
卯死矣,báu--sí--ah
出色,chhut-sek
外行,gōa-hâng
四色牌,sù-sek-pâi
外位,gōa-ūi
冬尾,tang-bóe/tang-bé
出巡,chhut-sûn
四序,sù-sī
四秀仔,sì-siù-á
出身,chhut-sin
加車,ka-chhia
半身,pòaⁿ-sin
卡車,khah-chhia
出來,chhut-lâi
北京,Pak-kiaⁿ
四季,sù-kùi
可怕,khó-phà
古板,kó͘-pán
司法,su-hoat
加油站,ka-iû-chām
出版,chhut-pán
四物仔,sù-bu̍t-á
半空中,pòaⁿ-khong-tiong
四肢,sù-ki
出門,chhut-mn̂g
叫門,kiò-mn̂g
半信半疑,poàn-sìn-poàn-gî
叫客,kiò-kheh
只是,chí-sī
叫是,kiò-sī
四界,sì-kè/sì-kòe
四界趖,sì-kè-sô/sì-kòe-sô
外科,gōa-kho
叫苦,kiò-khó͘
只要,chí-iàu
外衫,gōa-saⁿ
叩首,khiò-siú
四面,sì-bīn
外面,gōa-bīn
出風頭,chhut-hong-thâu
加倍,ka-pōe
外套,gōa-thò
出家,chhut-ke
出差,chhut-chhai
出師,chhut-sai
出席,chhut-se̍k
外孫,gōa-sun
外家,gōa-ke
功效,kong-hāu
古書,kó͘-chu
出氣,chhut-khùi
四海,sù-hái
出珠,chhut-chu
四破,sì-phòa
出租,chhut-cho͘
四神湯,sù-sîn-thng
可能,khó-lêng
出酒,chhut-chiú
出馬,chhut-má
四配,sù-phòe/sù-phè
叫做,kiò-chò/kiò-chòe
外國,gōa-kok
出張,chhut-tiuⁿ
加強,ka-kiông
四常,sù-siông
可惜,khó-sioh
半晡,pòaⁿ-po͘
半桶屎,pòaⁿ-tháng-sái
半桶師仔,pòaⁿ-tháng-sai-á
加添,ka-thiam
四淋垂,sì-lâm-sûi
出現,chhut-hiān
出產,chhut-sán
外痔,gōa-tī
出脫,chhut-thoat
四通八達,sù-thong-pat-ta̍t
北部,pak-pō͘
半陰陽仔,pòaⁿ-iam-iûⁿ-á
出喙,chhut-chhùi
功勞,kong-lô
卯喙,mauh-chhùi
出場,chhut-tiûⁿ
包圍,pau-ûi
外場,gōa-tiûⁿ
可惡,khó-ò͘ⁿ
可惱,khó-náu
四散,sì-sòaⁿ
加減,ke-kiám
出港,chhut-káng
外甥,gōe-seng
冬菜,tang-chhài
叫菜,kiò-chhài
包袱巾,pau-ho̍k-kin/pau-ho̍k-kun
包袱仔,pau-ho̍k-á
包飯,pau-pn̄g
召集,tiàu-chi̍p
出勤,chhut-khîn/chhut-khûn
去傷解鬱,khì-siong-kái-ut
出嫁,chhut-kè
外媽,gōa-má
古意,kó͘-ì
可愛,khó-ài
古意人,kó͘-ì-lâng
出業,chhut-gia̍p
北極,pak-ke̍k
半節,pòaⁿ-chat
冬節圓,tang-cheh-îⁿ/tang-choeh-îⁿ
凹落去,nah--lo̍h-khì
古董,kó͘-tóng
包裝,pau-chong
加話,ke-ōe
四跤仔,sì-kha-á
四跤仔泅,sì-kha-á-siû
四跤杜定,sì-kha-tō͘-tēng
出路,chhut-lō͘
出運,chhut-ūn
半路,pòaⁿ-lō͘
外路仔,gōa-lō͘-á
半路師,pòaⁿ-lō͘-sai
包飼的,pau-chhī--ê
半暝,pòaⁿ-mê/pòaⁿ-mî
可疑,khó-gî
北管,pak-koán
半精白,pòaⁿ-chiaⁿ-pe̍h
包種茶,pau-chióng-tê
四箍圍仔,sì-kho͘-ûi-á
四箍輾轉,sì-kho͘-liàn-tńg
加網魚,ka-bāng-hî/ka-bāng-hû
包裹,pau-kó
包領,pau-niá
凹鼻,nah-phīⁿ
出價,chhut-kè
半價,pòaⁿ-kè
司儀,su-gî
功德,kong-tek
可憐,khó-liân
可憐代,khó-liân-tāi
半樓仔,pòaⁿ-lâu-á
功課,kong-khò
出賣,chhut-bē/chhut-bōe
可靠,khó-khò
加擔,ka-taⁿ
司機,su-ki
半燒冷,pòaⁿ-sio-léng
包辦,pau-pān
古錐,kó͘-chui
出頭,chhut-thâu
包餡,pau-āⁿ
叩頭,khàu-thâu
外頭,gōa-thâu
出頭天,chhut-thâu-thiⁿ
出聲,chhut-siaⁿ
出膿,chhut-lâng
加薦仔,ka-chì-á/ka-chù-á
叩謝,khàu-siā
加講話,ke-kóng-ōe
出癖,chhut-phia̍h
包穡頭,pau-sit-thâu
古蹟,kó͘-chek
加轆仔,ka-lak-á
包穩,pau-ún
四邊,sì-piⁿ
召鏡,tiàu-kiàⁿ
加鵻,ka-chui
包贏,pau-iâⁿ
句讀,kù-tāu
外觀,gōa-koan
包贌,pau-pa̍k
夯,giâ
失,sit
奴,lô͘
奶,leng/ni
奶,nai
巧,khá
巧,khiáu
市,chhī
布,pò͘
平,pêⁿ/pîⁿ
平,piâⁿ
平,pêng
幼,iù
戊,bō͘
扒,pe
扒,pê
打,táⁿ
旦,tòaⁿ
未,bī
未,bōe/bē
本,pún
正,chiàⁿ
正,chèng
母,bió
母,bó
母,bú
民,bîn
汁,chiap
本人,pún-lâng
失人禮,sit-lâng-lé
奴才,lô͘-châi
尻川,kha-chhng
本土,pún-thó͘
尻川䫌,kha-chhng-phóe
未亡人,bī-bông-jîn/bī-bông-lîn
尻川口,kha-chhng-kháu
尻川斗,kha-chhng-táu
尻川後,kha-chhng-āu
尻川骨,kha-chhng-kut
尻川溝,kha-chhng-kau
市內,chhī-lāi
平仄,piâⁿ-cheh
平分,pêⁿ-pun/pîⁿ-pun
失手,sit-chhiú
打扎,táⁿ-chah
正手,chiàⁿ-chhiú
正月,chiaⁿ--goe̍h/chiaⁿ--ge̍h
民心,bîn-sim
正手爿,chiàⁿ-chhiú-pêng
正月正時,chiaⁿ-goe̍h-chiaⁿ-sî/chiaⁿ-ge̍h-chiaⁿ-sî
正爿,chiàⁿ-pêng
民主,bîn-chú
母仔囝,bú-á-kiáⁿ
左右,chó-iū
奶母,leng-bú/ni-bú
市民,chhī-bîn
平平,pêⁿ-pêⁿ/pîⁿ-pîⁿ
末末,boa̍h-boa̍h
正本,chiàⁿ-pún
布市仔,pò͘-chhī-á
奶母車,leng-bú-chhia/ni-bú-chhia
布目,pò͘-ba̍k
本份,pún-hūn
幼囝,iù-kiáⁿ
母囝椅,bú-kiáⁿ-í
平地,pêⁿ-tē/pîⁿ-tōe
平安,pêng-an
本地,pún-tē/pún-tōe
正式,chèng-sek
失收,sit-siu
本成,pún-chiâⁿ
未免,bī-bián
平均,pêng-kin/pêng-kun
母妗,bú-kīm
失志,sit-chì
打扮,táⁿ-pān
幼秀,iù-siù
失言,sit-giân
布身,pò͘-sin
本身,pún-sin
正身,chiàⁿ-sin
母身,bó-sin
失事,sit-sū
未來,bī-lâi
本事,pún-sū
本來,pún-lâi
民事,bîn-sū
失味,sit-bī
本命錢,pún-miā-chîⁿ
尼姑,nî-ko͘/lî-ko͘
尼姑庵,nî-ko͘-am/lî-ko͘-am
本底,pún-té/pún-tóe
奶帕仔,leng-phè-á/ni-phè-á
本性,pún-sèng
失明,sit-bêng
母的,bó--ê
市長,chhī-tiúⁿ
正門,chiàⁿ-mn̂g
母金,bó-kim
失信,sit-sìn
民俗,bîn-sio̍k
夯枷,giâ-kê
正派,chèng-phài
失約,sit-iok
失重,sit-tāng
必要,pit-iàu
正面,chiàⁿ-bīn
正音,chiàⁿ-im
平埔,pêⁿ-po͘/pîⁿ-po͘
平埔番,Pêⁿ-po͘-hoan/Pîⁿ-po͘-hoan
市容,chhī-iông
布料,pò͘-liāu
母校,bú-hāu
失眠,sit-bîn
失神,sit-sîn
尻脊,kha-chiah
市草,chhī-chháu
尻脊後,kha-chiah-āu
尻脊骿,kha-chiah-phiaⁿ
幼骨,iù-kut
打馬膠,tá-má-ka
打馬膠路,tá-má-ka-lō͘
失常,sit-siông
平常,pêng-siông
平常時,pêng-siông-sî
失敗,sit-pāi
打探,táⁿ-thàm
失望,sit-bōng
打桶,táⁿ-tháng
民族,bîn-cho̍k
民眾,bîn-chiòng
正統,chèng-thóng
布袋,pò͘-tē
布袋戲,pò͘-tē-hì
幼貨,iù-hòe/iù-hè
正途,chèng-tô͘
失陪,sit-pôe
奶喙仔,leng-chhùi-á/ni-chhùi-á
市場,chhī-tiûⁿ
布景,pò͘-kéng
打揲,táⁿ-tia̍p
未曾,bōe-chêng/bē-chêng
未曾未,bōe-chêng-bōe/bē-chêng-bē
正港,chiàⁿ-káng
必然,pit-jiân/pit-liân
平等,pêng-téng
本等,pún-téng
正著時,chiàⁿ-tio̍h-sî
民間,bîn-kan
平順,pêng-sūn
扒飯,pe-pn̄g
本意,pún-ì
民意,bîn-ì
失敬,sit-kèng
失業,sit-gia̍p
正當,chèng-tong
正當時,chiàⁿ-tong-sî
幼稚園,iù-tī-hn̂g
佈置,pò͘-tì
正經,chèng-keng
正義,chèng-gī
母舅,bú-kū
母舅公,bú-kū-kong
幼路,iù-lō͘
正路,chiàⁿ-lō͘
失電,sit-tiān
正頓,chiàⁿ-tǹg
失算,sit-sǹg
失誤,sit-gō͘
永遠,éng-oán
本領,pún-léng
市價,chhī-kè
失德,sit-tek
布鞋,pò͘-ê/pò͘-ôe
幼齒,iù-khí
布機,pò͘-kui
母親,bú-chhin
平靜,pêng-chēng
本錢,pún-chîⁿ
母錢,bú-chîⁿ
奶頭,leng-thâu/ni-thâu
布頭,pò͘-thâu
布頭布尾,pò͘-thâu-pò͘-bóe/pò͘-thâu-pò͘-bé
扒龍船,pê-lêng-chûn
打擊,táⁿ-kek
民營化,bîn-êng-hòa
奶癌,leng-gâm/ni-gâm
布篷,pò͘-phâng
失聲,sit-siaⁿ
幼聲,iù-siaⁿ
民謠,bîn-iâu
打擾,táⁿ-jiáu/táⁿ-liáu
失禮,sit-lé
失蹤,sit-chong
扒癢,pê-chiūⁿ
失覺察,sit-kak-chhat
幼麵麵,iù-mī-mī
失戀,sit-loân
母體,bú-thé
失體面,sit-thé-bīn
犯,hoān
玉,ge̍k
玉,gio̍k
瓜,koe
瓦,hiā
甘,kam
生,chheⁿ/chhiⁿ
生,seⁿ/siⁿ
生,seng
用,ēng
用,iōng
田,chhân
由,iû
甲,kah
甲,kah
申,sin
白,pe̍h
白,pe̍k
皮,phî
皮,phôe/phê
目,ba̍k
目,bo̍k
石,chio̍h
石,se̍k
示,sī
穴,hia̍t
立,li̍p
目𥍉仔,ba̍k-nih-á
犯人,hoān-lâng
瓜子,koe-chí
甲子,kah-chí
石工,chio̍h-kang
白仁,pe̍h-jîn/pe̍h-lîn
白內障,pe̍h-lāi-chiàng
甘心,kam-sim
生日,seⁿ-ji̍t/siⁿ-li̍t
用心,iōng-sim
白木耳,pe̍h-bo̍k-ní
玉仔,ge̍k-á
瓜仔,koe-á
生仔,seⁿ-á/siⁿ-á
石仔,chio̍h-á
瓜仔哖,koe-á-nî
用功,iōng-kong
白包,pe̍h-pau
皮包仔,phôe-pau-á/phê-pau-á
白白,pe̍h-pe̍h
皮皮,phî-phî
生份,seⁿ-hūn/siⁿ-hūn
生份人,seⁿ-hūn-lâng/siⁿ-hūn-lâng
生囝,seⁿ-kiáⁿ/siⁿ-kiáⁿ
由在,iû-chāi
生囡仔,seⁿ gín-á/siⁿ gín-á
生存,seng-chûn
田庄,chhân-chng
目地,ba̍k-tē/ba̍k-tōe
生成,seⁿ-sêng/siⁿ-sêng
生死,seⁿ-sí/siⁿ-sí
白肉,pe̍h-bah
白色,pe̍h-sek
目色,ba̍k-sek
石灰,chio̍h-hoe
生冷,chheⁿ-léng/chhiⁿ-léng
田佃,chhân-tiān
生卵,seⁿ-nn̄g/siⁿ-nn̄g
石坎,chio̍h-khám
立志,li̍p-chì
白汫無味,pe̍h-chiáⁿ-bô-bī
生狂,chheⁿ-kông/chhiⁿ-kông
由來,iû-lâi
田岸,chhân-hōaⁿ
白帖仔,pe̍h-thiap-á
田岸路,chhân-hōaⁿ-lō͘
石枋,chio̍h-pang
瓦杮仔,hiā-phòe-á/hiā-phè-á
犯法,hoān-hoat
目油,ba̍k-iû
石油,chio̍h-iû
目狗針,ba̍k-káu-chiam
目的,bo̍k-te̍k
目空,ba̍k-khang
生長,seng-tióng
目前,bo̍k-chiân
田契,chhân-khè/chhân-khòe
目屎,ba̍k-sái
目屎膏,ba̍k-sái-ko
白柚,pe̍h-iū
石柱,chio̍h-thiāu
石洞,chio̍h-tōng
生活,seng-oa̍h
生相,seⁿ-siùⁿ/siⁿ-siùⁿ
玉皇大帝,Gio̍k-hông-tāi-tè
目眉,ba̍k-bâi
矛盾,mâu-tún
白食,pe̍h-chia̍h
白韭菜,pe̍h-kú-chhài
申冤,sin-oan
瓦厝,hiā-chhù
生時日月,seⁿ-sî-ji̍t-goe̍h/siⁿ-sî-li̍t-ge̍h
立案,li̍p-àn
田租,chhân-cho͘
甘草,kam-chhó
甲馬,kah-bé
目針,ba̍k-chiam
生做,seⁿ-chò/siⁿ-chòe
白帶,pe̍h-tài
皮帶,phôe-tòa/phê-tòa
白帶魚,pe̍h-tòa-hî/pe̍h-tòa-hû
甘甜,kam-tiⁿ
生理,seng-lí
生產,seng-sán
生疏,chheⁿ-so͘/chhiⁿ-so͘
生理人,seng-lí-lâng
生理場,seng-lí-tiûⁿ
生粒仔,seⁿ-lia̍p-á/siⁿ-lia̍p-á
白翎鷥,pe̍h-lēng-si
石舂臼,chio̍h-cheng-khū
皮蛋,phî-tàn
目蚶,ba̍k-ham
用途,iōng-tô͘
白麻,pe̍h-môa
白麻油,pe̍h-môa-iû
白喉,pe̍h-âu
立場,li̍p-tiûⁿ
白斑,pe̍h-pan
石敢當,chio̍h-kám-tong
生湠,seⁿ-thòaⁿ/siⁿ-thòaⁿ
石牌,chio̍h-pâi
皮猴戲,phôe-kâu-hì/phê-kâu-hì
生番,chheⁿ-hoan/chhiⁿ-hoan
生菇,seⁿ-ko͘/siⁿ-ko͘
生菜,chheⁿ-chhài/chhiⁿ-chhài
白菜,pe̍h-chhài
犯著,hoān-tio̍h
申訴,sin-sò͘
田蛤仔,chhân-kap-á
白飯,pe̍h-pn̄g
田園,chhân-hn̂g
用意,iōng-ì
